City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ribeira grande,38.5167,-28.7,19.32,94,75,10.28,PT,1736461761
1,puerto natales,-51.7236,-72.4875,16.25,39,20,8.23,CL,1736461762
2,padangsidempuan,1.3667,99.2667,21.38,98,100,1.37,ID,1736461763
3,west island,-12.1568,96.8225,25.99,94,75,3.09,CC,1736461764
4,edinburgh of the seven seas,-37.0676,-12.3116,17.89,91,100,5.93,SH,1736461765
5,albany,42.6001,-73.9662,-6.35,69,57,4.02,US,1736461766
6,east london,-33.0153,27.9116,23.01,85,0,6.39,ZA,1736461767
7,punta arenas,-53.15,-70.9167,15.06,33,0,8.75,CL,1736461768
8,tsengel,49.4783,100.8894,-19.06,90,100,2.12,MN,1736461769
9,nueva gerona,21.8833,-82.8,20.46,59,92,8.14,CU,1736461770
10,grytviken,-54.2811,-36.5092,4.2,95,100,1.09,GS,1736461771
11,adamstown,-25.066,-130.1015,24.54,80,100,11.7,PN,1736461772
12,blackmans bay,-43.0167,147.3167,21.52,69,37,0.45,AU,1736461773
13,bilibino,68.0546,166.4372,-28.3,98,100,0.88,RU,1736461774
14,mazamari,-11.3258,-74.5308,23.5,98,99,1.4,PE,1736461775
15,san fernando,15.0286,120.6898,23.85,94,65,1.7,PH,1736461778
16,ocozocoautla de espinosa,16.7667,-93.3667,21.6,68,65,3.08,MX,1736461779
17,yellowknife,62.456,-114.3525,-23.58,92,75,5.66,CA,1736461489
18,waitangi,-43.9535,-176.5597,13.79,74,93,5.81,NZ,1736461781
19,georgetown,5.4112,100.3354,26.96,72,20,3.6,MY,1736461782
20,ha'il,27.5219,41.6907,6.01,81,0,2.06,SA,1736461783
21,thompson,55.7435,-97.8558,-16.91,78,75,6.17,CA,1736461784
22,kapa'a,22.0752,-159.319,23.18,94,100,9.26,US,1736461785
23,la punta,-33.1837,-66.3127,21.92,70,74,7.57,AR,1736461786
24,acarau,-2.8856,-40.12,26.94,81,52,6.23,BR,1736461787
25,mont-laurier,46.5501,-75.4993,-9.62,83,100,5.24,CA,1736461788
26,port-aux-francais,-49.35,70.2167,4.37,92,100,24.18,TF,1736461789
27,ridgecrest,35.6225,-117.6709,20.92,7,0,10.29,US,1736461790
28,sitka,57.0531,-135.33,8.94,76,100,7.72,US,1736461522
29,zalingei,12.9096,23.4741,18.79,19,22,2.58,SD,1736461792
30,anadyr,64.75,177.4833,-29.72,67,20,7.0,RU,1736461794
31,tazacorte,28.629,-17.9293,17.54,46,0,4.92,ES,1736461795
32,kalymnos,36.95,26.9833,13.74,88,20,1.54,GR,1736461796
33,port mathurin,-19.6833,63.4167,26.13,90,100,10.61,MU,1736461797
34,nova sintra,14.8667,-24.7167,24.07,73,0,5.88,CV,1736461798
35,ganye,8.4333,12.0667,21.67,23,5,1.6,NG,1736461799
36,bredasdorp,-34.5322,20.0403,19.45,81,5,5.6,ZA,1736461800
37,coahuayana de hidalgo,18.7,-103.6583,28.14,55,92,2.28,MX,1736461801
38,komarichi,52.4151,34.7905,2.18,83,100,5.93,RU,1736461802
39,udachny,66.4167,112.4,-23.36,100,100,1.03,RU,1736461803
40,filingue,14.3521,3.3168,19.99,19,87,4.56,NE,1736461804
41,mazouna,36.1223,0.8987,10.38,89,55,2.61,DZ,1736461805
42,as saffaniyah,27.9708,48.73,14.51,54,5,4.77,SA,1736461806
43,bayanhongor,46.7167,100.1167,-26.4,84,46,1.39,MN,1736461807
44,general acha,-37.377,-64.6043,27.97,36,70,12.32,AR,1736461808
45,invercargill,-46.4,168.35,16.12,78,94,2.68,NZ,1736461810
46,luancheng,37.8792,114.6517,-3.72,30,22,0.37,CN,1736461811
47,ust-nera,64.5667,143.2,-32.81,100,96,1.3,RU,1736461812
48,meadow lake,34.8014,-106.5436,1.71,83,100,2.94,US,1736461813
49,banda aceh,5.5577,95.3222,25.01,82,79,5.25,ID,1736461814
50,alice springs,-23.7,133.8833,29.75,25,4,0.0,AU,1736461815
51,tiksi,71.6872,128.8694,-26.74,99,93,4.5,RU,1736461816
52,bambanglipuro,-7.95,110.2833,24.95,88,99,2.11,ID,1736461819
53,warmbad,-28.45,18.7333,21.53,42,6,5.69,NA,1736461820
54,iquique,-20.2208,-70.1431,20.41,81,92,1.33,CL,1736461821
55,stanley,54.868,-1.6985,-2.12,79,11,3.68,GB,1736461822
56,zayukovo,43.6161,43.3339,2.12,56,0,2.51,RU,1736461823
57,margaret river,-33.95,115.0667,15.74,81,98,3.48,AU,1736461761
58,colonia,50.9333,6.95,1.65,86,20,5.66,DE,1736461825
59,gadzhiyevo,69.2551,33.3362,-6.79,89,100,4.61,RU,1736461826
60,kununurra,-15.7667,128.7333,24.99,94,15,3.09,AU,1736461827
61,dolni chiflik,42.9833,27.7167,9.31,94,71,4.18,BG,1736461828
62,zouerate,22.7187,-12.4521,15.64,14,3,4.72,MR,1736461829
63,kodiak,57.79,-152.4072,3.73,87,100,7.72,US,1736461830
64,minas de marcona,-15.2119,-75.1103,18.31,65,84,6.48,PE,1736461831
65,ujae,8.9322,165.7642,27.48,78,23,11.35,MH,1736461832
66,abatskoye,56.2875,70.4555,-3.17,77,100,9.22,RU,1736461833
67,ilulissat,69.2167,-51.1,-14.99,61,20,8.23,GL,1736461834
68,talnakh,69.4865,88.3972,-26.95,97,31,2.07,RU,1736461835
69,kavaratti,10.5669,72.642,26.54,76,96,3.37,IN,1736461836
70,mugia,43.1041,-9.2179,14.95,94,61,10.35,ES,1736461837
71,ogdensburg,44.6942,-75.4863,-5.55,65,0,3.6,US,1736461838
72,saudarkrokur,65.7461,-19.6394,-5.12,85,55,7.03,IS,1736461839
73,freetown,8.484,-13.2299,25.91,87,100,3.23,SL,1736461840
74,pahrump,36.2083,-115.9839,15.7,18,0,6.71,US,1736461842
75,pandan,14.0453,124.1694,25.16,88,100,8.54,PH,1736461844
76,vilyuchinsk,52.9306,158.4028,-15.85,73,1,3.88,RU,1736461845
77,cole harbour,44.6724,-63.4751,1.71,87,99,7.72,CA,1736461846
78,iqaluit,63.7506,-68.5145,-16.15,77,100,1.03,CA,1736461847
79,klaksvik,62.2266,-6.589,1.54,57,96,4.61,FO,1736461848
80,betio village,1.358,172.9211,30.02,79,27,5.34,KI,1736461849
81,tura,25.5198,90.2201,11.91,85,0,1.59,IN,1736461850
82,college,64.8569,-147.8028,-5.86,74,75,0.0,US,1736461851
83,la ronge,55.1001,-105.2842,-14.86,72,75,6.69,CA,1736461852
84,ushuaia,-54.8,-68.3,10.81,58,40,10.29,AR,1736461853
85,nova xavantina,-14.6667,-52.35,21.79,99,99,1.54,BR,1736461854
86,port hedland,-20.3167,118.5667,31.03,70,20,4.12,AU,1736461855
